,Title,Year,Rated,Release Date,Runtime,Genre,Director,Writer,Actors,Plot,imdbRating,imdbVotes,ID,Season,Episode
13,The Jerusalem Duality,2008,TV-14,14 Apr 2008,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), David Goetsch (teleplay), Steven Molaro (teleplay), Jennifer Glickman (story), Stephen Engel (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Sheldon decides to give up his work and focus on other tasks when a 15-year-old prodigy joins the university, so the other guys come up with a plan to get rid of him.",8.1,2247,tt1127386,1,12
24,The Griffin Equivalency,2008,TV-14,13 Oct 2008,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Stephen Engel (teleplay), Tim Doyle (teleplay), Bill Prady (story), Chuck Lorre (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",The guys struggle to cope with Raj's arrogance after he is featured in a People magazine article.,8.1,2145,tt1256035,2,4
32,The Killer Robot Instability,2009,TV-14,12 Jan 2009,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Daley Haggar (teleplay), Bill Prady (story), Richard Rosenstock (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Howard becomes depressed after Penny makes a cruel statement about his love life, while the rest of the guys prepare for a grudge killer robot duel against an obnoxious colleague at the university.",8.1,2059,tt1256022,2,12
142,The Deception Verification,2013,TV-14,26 Sep 2013,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Steve Holland (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Eric Kaplan (story), Jim Reynolds (story), Anthony Del Broccolo (executive story editor), Tara Hernandez (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Leonard has come home a few days early, surprising Penny. The one person who isn't surprised is Sheldon, as Leonard hasn't told him and doesn't want him to know so that he and Penny can have a few days alone together. However, when Sheldon sees what he considers unusual activity in Penny's apartment, he thinks that Penny is having an affair. Meanwhile, Howard has been putting on a few pounds of late, and is being really cranky about it. Bernadette, the scientist, figures out why. There is nothing they can do about Howard's problem in the short term, and will have to endure a couple of weeks of bloating and moodiness. Howard, however, gets some unexpected support with what he considers his primary problem.",8.1,2012,tt2933998,7,2
71,The Zazzy Substitution,2010,TV-14,07 Oct 2010,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Lee Aronsohn (teleplay), Steven Molaro (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Bill Prady (story), Jim Reynolds (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Following his 'breakup' with Amy, the gang become concerned with Sheldon's obsessive search for non-human companionship and call his mother to intervene.",8.1,1983,tt1632240,4,3
119,The Higgs Boson Observation,2012,TV-PG,11 Oct 2012,19 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Jim Reynolds (teleplay), Maria Ferrari (teleplay), Steven Molaro (story), David Goetsch (story), Steve Holland (story), Anthony Del Broccolo (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","When Sheldon hires a female grad student to assist him, a jealous Amy asks Penny to help her spy on them. On the space station, Howard begins behaving erratically.",8.1,1951,tt2378184,6,3
64,The Wheaton Recurrence,2010,TV-14,12 Apr 2010,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), David Goetsch (teleplay), Jim Reynolds (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Steven Molaro (story), Nicole Lorre (story), Jessica Ambrosetti (story), Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Sheldon takes on Wil Wheaton in a game of bowling. Leonard and Penny's relationship comes to a crossroad.,8.1,1915,tt1609410,3,19
174,The Prom Equivalency,2014,TV-14,06 Nov 2014,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Eric Kaplan (teleplay), Maria Ferrari (teleplay), Jim Reynolds (story), Steve Holland (story), Jeremy Howe (story), Tara Hernandez (executive story editor), Jeremy Howe (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","The girls decide to re-enact their high school proms with the guys. While Sheldon feels under pressure to commit to his relationship with Amy, Howard worries about who Stuart will bring as his date.",8.1,1885,tt3823242,8,8
154,The Convention Conundrum,2014,TV-PG,30 Jan 2014,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), David Goetsch (teleplay), Steve Holland (teleplay), Eric Kaplan (story), Jim Reynolds (story), Adam Faberman (story), Anthony Del Broccolo (executive story editor), Tara Hernandez (story editor), Jeremy Howe (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","When the guys can't get hold of any Comic-Con tickets, Sheldon tries to hold his own convention and ends up spending a wild night with James Earl Jones. Meanwhile, the girls try to feel more mature by going to a fancy hotel for tea.",8.1,1864,tt3453320,7,14
132,The Tangible Affection Proof,2013,TV-14,14 Feb 2013,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Jim Reynolds (teleplay), Tara Hernandez (teleplay), Chuck Lorre (story), Bill Prady (story), Steve Holland (story), Anthony Del Broccolo (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Sheldon gets Alex to buy a Valentine's Day gift for Amy. Leonard and Penny and Howard and Bernadette have a disastrous dinner together. Raj and Stuart host a ""Lonely People"" party at the comic book store.",8.1,1847,tt2668846,6,16
190,The Commitment Determination,2015,TV-PG,07 May 2015,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Steve Holland (teleplay), Eric Kaplan (teleplay), Chuck Lorre (story), Jim Reynolds (story), Maria Ferrari (story), Tara Hernandez (executive story editor), Jeremy Howe (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","As Sheldon presses Leonard and Penny to set a wedding date, he encounters major changes in his relationship with Amy. Meanwhile, Raj wonders if he should break up with Emily, and Howard and Bernadette struggle to ask Stuart to move out.",8.1,1841,tt3862738,8,24
85,The Toast Derivation,2011,TV-14,24 Feb 2011,22 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Steven Molaro (teleplay), Jim Reynolds (teleplay), Bill Prady (story), David Goetsch (story), Maria Ferrari (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Sheldon becomes concerned when everybody begins to hang out at Raj's apartment and discovers Leonard is the center of the group.,8.1,1839,tt1632232,4,17
102,The Flaming Spittoon Acquisition,2011,TV-14,17 Nov 2011,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Jim Reynolds (teleplay), Steve Holland (teleplay), Chuck Lorre (story), Steven Molaro (story), David Goetsch (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","When Stuart meets Amy as she accompanies Sheldon to the comic book store, Stuart feels they had a moment. As such, Stuart wants to ask her out on a date. Not knowing what Amy's relationship status with Sheldon is, Stuart asks Leonard to ask Sheldon if it's OK for him to ask her out. Sheldon's ultimate response is that Amy is not his possession, so she is free to do whatever she wants. In reality, Sheldon's indirect allowance for Amy to date Stuart is only in the belief that Amy has no interest in Stuart. Sheldon's wrong as Amy does agree to go out with Stuart. Sheldon has to figure out what his true feelings for Amy are, and if they are in the realm of boyfriend/girlfriend, he has to figure out what to do to get her back.",8.1,1832,tt2105978,5,10
144,The Raiders Minimization,2013,TV-PG,10 Oct 2013,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Steve Holland (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Jim Reynolds (story), Tara Hernandez (story), Anthony Del Broccolo (executive story editor), Tara Hernandez (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","For her Psychology class, Penny has on the recommended reading list one of Leonard's mother's books. Leonard doesn't want Penny to read it, and all about his troubled childhood. Penny does whatever she can, including having sex, to help Leonard overcome his feelings about her reading the book. Although Leonard's depressed feeling about Penny reading the book and about his childhood are short lived, Leonard decides to continue the ruse to get favors out of Penny. Meanwhile, Amy is indulging Sheldon's latest want, that to watch one of his favorite movies with him, namely Raiders of the Lost Ark (1981). Although she does not intend to do so, Amy ends up ruining the movie for Sheldon by pointing out that the character of Indiana Jones really is incidental to the movie's outcome, i.e. that the outcome would have happened with or without Indy. Sheldon goes to great lengths to ruin one of Amy's favorite arts/entertainment titles for her, which isn't as easy as he would like. And Raj and Stuart decide to try on-line dating.",8.1,1831,tt3221722,7,4
135,The Closet Reconfiguration,2013,TV-14,14 Mar 2013,20 min,"Comedy, Romance",Anthony Rich,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Steve Holland (teleplay), Eric Kaplan (teleplay), Chuck Lorre (story), Jim Reynolds (story), Maria Ferrari (story), Anthony Del Broccolo (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Howard's idea of cleaning up in preparation for a dinner party at their place is to throw everything into the closet, which irks Bernadette. Howard suggests that if Bernadette truly wants their closet to be organized, that they show it to Sheldon, who will more than gladly volunteer to organize it, which he does. But Sheldon finds something in the closet that Howard has kept unopened for years: a letter from his father, who abandoned him and his mother when Howard was a child. The letter arrived on his eighteenth birthday. At the time, Howard had no interest in reading the letter's contents, but now doesn't know what to feel about it. Regardless of what Howard decides to do about the letter, he and others may find out its contents if only because Sheldon read the letter in deciding how to file it. A scientific experiment may reveal or not reveal the letter's contents to Howard. Meanwhile, Leonard, seeing how grown up and mature Howard and Bernadette have become by hosting a formal dinner party, wants him and Penny to do the same, but only better.",8.1,1829,tt2739286,6,19
84,The Cohabitation Formulation,2011,TV-14,17 Feb 2011,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Steven Molaro (teleplay), Jim Reynolds (teleplay), Chuck Lorre (story), Lee Aronsohn (story), David Goetsch (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Bernadette makes Howard choose between herself and his mother, while Penny and Raj become upset when Priya returns to town and resumes her relationship with Leonard.",8.1,1796,tt1632231,4,16
137,The Closure Alternative,2013,TV-14,25 Apr 2013,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Jim Reynolds (teleplay), Steve Holland (teleplay), Chuck Lorre (story), Bill Prady (story), Tara Hernandez (story), Anthony Del Broccolo (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Amy tries to help a depressed Sheldon find closure when one of his favorite TV shows is canceled. Raj becomes paranoid when he finds Lucy's blog.,8.1,1774,tt2833366,6,21
180,The Troll Manifestation,2015,TV-PG,05 Feb 2015,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Jim Reynolds (teleplay), Steve Holland (teleplay), Maria Ferrari (teleplay), Steven Molaro (story), Eric Kaplan (story), Tara Hernandez (story), Tara Hernandez (executive story editor), Jeremy Howe (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Leonard and Sheldon defend themselves against criticism from an online bully, while the girls confront embarrassing moments from their pasts.",8.1,1695,tt3862712,8,14
164,The Status Quo Combustion,2014,TV-14,15 May 2014,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Steve Holland (teleplay), Tara Hernandez (teleplay), Eric Kaplan (story), Jim Reynolds (story), Jeremy Howe (story), Anthony Del Broccolo (executive story editor), Tara Hernandez (story editor), Jeremy Howe (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Leonard and Penny's good news that they are engaged and Raj's that he has had sex with Emily are tempered by Howard and Bernadette's problem of not being able to keep any professional help to take care of his mother, and Sheldon's that the university will not let him change his area of research from string theory to inflationary cosmology, as string theory was the reason they hired him and the area for which he has received all his grants. What's worse for Sheldon, who cannot handle change that is not initiated by him, is that Leonard and Penny contemplate a living situation that may not include him, while Amy tries to capitalize on that fact for her own benefit. And a place that Sheldon considers a sanctuary is temporarily out of commission, which may be indirectly a benefit for Howard and Bernadette. With all these changes in his life, Sheldon may have some tough choices to make, all of which, in his mind, are less desirable that what had been his life up to this point.",8.1,1674,tt3572184,7,24
181,The Comic Book Store Regeneration,2015,TV-PG,19 Feb 2015,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Eric Kaplan (teleplay), Steve Holland (teleplay), Jim Reynolds (story), Maria Ferrari (story), Jeremy Howe (story), Tara Hernandez (executive story editor), Jeremy Howe (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","When the comic book store reopens, Howard is shocked to find his mothers futniture displayed. Meanwhile, after an incident with Amy, Sheldon is trying to ""let it go"" with Penny, but she also finds out what Amy has done with her. But just as surprising as what happened with Penny, Howard discovers what happened with his mother...",8.1,1614,tt3862710,8,15
198,The Mystery Date Observation,2015,TV-PG,12 Nov 2015,19 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Chuck Lorre (teleplay), Steve Holland (teleplay), Tara Hernandez (teleplay), Steven Molaro (story), Eric Kaplan (story), Jim Reynolds (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Sheldon, Howard and Raj post an ad online to find a new girlfriend for Sheldon. Penny and Bernadette decide to spy when Amy is secretive about who she is dating.",8.1,1506,tt5117928,9,8
197,The Spock Resonance,2015,TV-PG,05 Nov 2015,19 min,"Comedy, Romance",Nicole Lorre,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Steve Holland (teleplay), Jeremy Howe (teleplay), Chuck Lorre (story), Jim Reynolds (story), Tara Hernandez (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Sheldon is excited to learn through his friend Wil Wheaton that Adam Nimoy, the son of Leonard Nimoy, Sheldon's hero, is making a documentary on the character of Mr. Spock, and wants to interview him, as a fan, for the documentary. Sheldon is to talk about how the character of Mr. Spock has influenced his life. Elsewhere, Bernadette wants to renovate the house to make it feel more like her and Howard's home, and not the Wolowitz home. Howard would rather the house remain as it is, the way he remembers it in all his memories, good and bad, especially of his recently deceased mother. Bernadette and Howard each bring in reinforcements to support their side. With both the documentary and the redecorating, certain other issues come to light which change the focus of the tasks at hand.",8.1,1473,tt5073156,9,7
218,The Cohabitation Experimentation,2016,TV-PG,10 Oct 2016,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Steve Holland (teleplay), Tara Hernandez (teleplay), Chuck Lorre (story), David Goetsch (story), Maria Ferrari (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","A burst water pipe leaves Amy's apartment uninhabitable for five weeks. Penny and Leonard offer Leonard's bedroom as a place to stay for that time, while Penny and Leonard would stay in Penny's apartment, effectively meaning that Amy and Sheldon would be living together. However after speaking to Sheldon about the matter, the collective decide that Penny and Leonard will stay in Leonard and Sheldon's apartment, while Sheldon and Amy will move into Penny's apartment, and treat it as a five week science experiment - Penny's apartment being the control away from Sheldon's comforts - to see if he would like to live with Amy after the five weeks is over. The experiment would allow him to evaluate the situation from a scientific perspective, seeing what worked and what didn't. As they will be sharing a bed, Amy and Sheldon decide to take coitus off the table to remove sexual tension as an evaluating factor. But the sex or lack thereof may be just one of many issues which could kibosh the experiment much sooner than the five weeks. However long, Leonard and Penny are determined to make the most of their Sheldon-free time. Meanwhile, Raj has been a constant presence at Bernadette and Howard's visits to the OB/GYN. The latest appointment includes the ultrasound, the sex of the baby which Bernadette and Howard have decided they don't want to know until the birth. However, Raj discovers the baby's sex. After getting over their anger at Raj knowing but they not, Bernadette and Howard reevaluate their decision in not knowing the baby's sex in light of Raj knowing.",8.1,1285,tt6062772,10,4
221,The Veracity Elasticity,2016,TV-14,03 Nov 2016,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steve Holland (teleplay), Jim Reynolds (teleplay), Adam Faberman (teleplay), Steven Molaro (story), Eric Kaplan (story), Maria Ferrari (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Amy neglects to tell Sheldon her apartment has been repaired. Leonard and Penny discuss what is to be done with Sheldon's room, but Leonard becomes more upset that Penny's been storing away his collectibles.",8.1,1255,tt6186420,10,7
141,The Hofstadter Insufficiency,2013,TV-14,26 Sep 2013,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Eric Kaplan (teleplay), Jim Reynolds (teleplay), Steve Holland (teleplay), Chuck Lorre (story), Steven Molaro (story), Tara Hernandez (story), Anthony Del Broccolo (executive story editor), Tara Hernandez (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Sheldon and Penny bond over missing Leonard. Howard tries to help Raj get over his breakup with Lucy. Amy and Bernadette take a trip together to a biology convention.,8,2170,tt3111660,7,1
47,The Jiminy Conjecture,2009,TV-14,28 Sep 2009,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Jim Reynolds, Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Leonard and Penny's first night together goes awkwardly. Sheldon and Howard wager on the species of a cricket.,8,2014,tt1495238,3,2
52,The Guitarist Amplification,2009,TV-14,09 Nov 2009,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Richard Rosenstock (teleplay), Jim Reynolds (teleplay), Chuck Lorre (story), Lee Aronsohn (story), Maria Ferrari (executive story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Sheldon is caught in the middle when Leonard and Penny argue about Penny's friend staying at her apartment.,8,1916,tt1535334,3,7
82,The Thespian Catalyst,2011,TV-14,03 Feb 2011,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Steven Molaro (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Lee Aronsohn (story), Jim Reynolds (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","To improve his skills as an instructor, Sheldon asks Penny to give him acting lessons. Meanwhile, Raj begins having impure fantasies about Bernadette.",8,1897,tt1632229,4,14
96,The Wiggly Finger Catalyst,2011,TV-14,06 Oct 2011,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Steven Molaro (teleplay), Steve Holland (teleplay), Chuck Lorre (story), David Goetsch (story), Anthony Del Broccolo (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Especially with Howard and Bernadette's impending marriage, everyone, including Raj himself, is feeling sorry for Raj not having a girlfriend. The problem of Raj finding a girlfriend or one of his friends finding him a girlfriend is his inability to speak to women unless intoxicated. Penny, however, thinks she's come up with the perfect girl who at least gets around that talking issue. Emily, who Penny knows solely from her spin class, is deaf. Despite initially needing Howard to translate since Howard knows ASL - Howard who feels he needs to take poetic license in translating what Raj wants to say - Raj and Emily seem to hit it off. Raj quickly falls head over heals in love with her, and the gang believes Emily has fallen head over heels in love with Raj. However, they soon change their minds about Emily's feelings, believing that she has only one selfish interest in Raj, which makes them see Raj in a slightly different light. As the one who got Raj into the relationship, Penny feels she has to take whatever measure necessary to get him out of it, which Raj may or may not appreciate or fully understand. Meanwhile, to free up his brain for more important matters, Sheldon is leaving all trivial decisions of his life literally up to the roll of the dice.",8,1869,tt2058495,5,4
138,The Proton Resurgence,2013,TV-PG,02 May 2013,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Eric Kaplan (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Jim Reynolds (story), Steve Holland (story), Anthony Del Broccolo (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Bernadette and Howard offer to watch Raj's dog and live to regret it. Leonard and Sheldon hire their favorite childhood star to make an appearance.,8,1862,tt2833352,6,22
127,The Santa Simulation,2012,TV-14,13 Dec 2012,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Jim Reynolds (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Eric Kaplan (story), Steve Holland (story), Anthony Del Broccolo (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",The girls take Raj out to a nightclub to find him a date. A game of Dungeons and Dragons rekindle old memories of Santa for Sheldon.,8,1851,tt2559784,6,11
130,The Cooper/Kripke Inversion,2013,TV-14,31 Jan 2013,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Jim Reynolds (teleplay), Steve Holland (teleplay), Chuck Lorre (story), Eric Kaplan (story), Anthony Del Broccolo (story), Anthony Del Broccolo (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Sheldon is forced to work with Kripke on a project and must concoct an elaborate lie when he can't hold up his end of the work. Howard and Raj get superhero figurines made of themselves.,8,1841,tt2636834,6,14
109,The Rothman Disintegration,2012,TV-14,16 Feb 2012,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Eric Kaplan (teleplay), Jim Reynolds (teleplay), Chuck Lorre (story), Bill Prady (story), Steve Holland (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Sheldon battles Kripke for a coveted office at the university. Penny receives a very unusual gift from Amy.,8,1809,tt2220955,5,17
122,The Extract Obliteration,2012,TV-14,01 Nov 2012,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Jim Reynolds (teleplay), Eric Kaplan (teleplay), Chuck Lorre (story), Bill Prady (story), Steve Holland (story), Anthony Del Broccolo (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Penny enrolls in a college class and keeps it a secret from Leonard. Sheldon causes conflict with Dr. Stephen Hawking over an online game.,8,1801,tt2450064,6,6
90,The Wildebeest Implementation,2011,TV-14,05 May 2011,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Eddie Gorodetsky (teleplay), Maria Ferrari (teleplay), Chuck Lorre (story), Steven Molaro (story), Eric Kaplan (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Sheldon invents a three-player chess game, Penny and Amy use Bernadette to spy on Leonard and Priya, and Raj tries a new drug to treat his social anxiety.",8,1788,tt1632238,4,22
163,The Gorilla Dissolution,2014,TV-PG,08 May 2014,19 min,"Comedy, Romance",Peter Chakos,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Steve Holland (teleplay), Eric Kaplan (teleplay), Chuck Lorre (story), Jim Reynolds (story), Jeremy Howe (story), Anthony Del Broccolo (executive story editor), Tara Hernandez (story editor), Jeremy Howe (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Penny has decided not to complain about the gorilla movie she's filming anymore. But an incident on the set makes Penny reevaluate the decisions she made in her life. Mrs. Wolowitz gets into an accident, which leads to her being bedridden for six to eight weeks. After arguing about who will take care of her, Howard and Bernadette ultimately decide that they will be her caregivers instead hiring a professional. This experience ends up being their trial as parents. And while Raj and Sheldon are out at the cinema, they run into Emily, who seemingly is on a date with someone else. With Sheldon's help, Raj critically examines how he enters into all of his relationships.",8,1625,tt3572182,7,23
182,The Intimacy Acceleration,2015,TV-PG,26 Feb 2015,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steven Molaro (teleplay), Jim Reynolds (teleplay), Steve Holland (teleplay), David Goetsch (story), Eric Kaplan (story), Tara Hernandez (story), Tara Hernandez (executive story editor), Jeremy Howe (story editor)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Amy and Raj learn of a scientific experiment designed to see if it can make two people fall in love in the matter of hours. After the gang discusses the viability of the experiment's premise, Sheldon and Penny decide they will test it out to see if it can make them fall in love with each other. The nature of the experiment is to answer truthfully a series of questions followed by staring into each other's eyes without speaking for four minutes. Is there any chance that Sheldon and Penny will fall in love with each other, or at least get to know intimate details about the other that they didn't already know? With Sheldon and Penny occupied with the experiment, Leonard and Amy decide to tag along on Raj and Emily's date, the four who decide to go to an escape room: interactive theater where the participants have to figure out puzzles to escape. This particular room is filled with zombies. Meanwhile, Howard and Bernadette have just arrived at Los Angeles Airport having just returned from Howard's mother's funeral. However, they are missing one important item that was supposed to return to California with them.",8,1556,tt3862714,8,16
199,The Platonic Permutation,2015,TV-PG,19 Nov 2015,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Steve Holland (teleplay), Maria Ferrari (teleplay), Adam Faberman (teleplay), Jim Reynolds (story), Jeremy Howe (story), Tara Hernandez (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","On Thanksgiving, Sheldon and Amy try to spend time together as friends and go to an aquarium, Howard reluctantly agrees to volunteer at the soup kitchen with Bernadette, Raj and Emily, and ...",8,1515,tt5143500,9,9
4,The Fuzzy Boots Corollary,2007,TV-14,08 Oct 2007,22 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Steven Molaro (teleplay), Chuck Lorre (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Leonard gets upset when he discovers that Penny is seeing a new guy, so he tries to trick her into going on a date with him.",7.9,2557,tt1091290,1,3
30,The Vartabedian Conundrum,2008,TV-14,08 Dec 2008,21 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Richard Rosenstock (teleplay), Chuck Lorre (story), Steven Molaro (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","Leonard tries to slow down his relationship with Stephanie when he realizes that they are living together, while Sheldon becomes convinced that he has an untraceable disease.",7.9,2051,tt1256020,2,10
95,The Pulled Groin Extrapolation,2011,TV-14,29 Sep 2011,20 min,"Comedy, Romance",Mark Cendrowski,"Chuck Lorre (created by), Bill Prady (created by), Bill Prady (teleplay), Steven Molaro (teleplay), David Goetsch (teleplay), Chuck Lorre (story), Eric Kaplan (story), Jim Reynolds (story)","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",Leonard accompanies Amy to a colleague's wedding. Howard tries to convince Bernadette to live with his mother after they get married.,7.9,1894,tt2057241,5,3
